review,rating,time
"I went to this bank branch today because I forgot to set up my pin on my RBC Mastercard and needed it for my trip. The employee who originally helped me was very nice but when the manager Darlene intervened, she was pretty much the rudest person I’ve come across in customer service. She wouldn’t even let me speak and basically treated me like a criminal because I didn’t activate my pin in my home province. I was truly shocked with her behaviour towards me. Definitely one of the worst customer service experiences I’ve personally experienced. Very disappointing.",2.2,1732157653
I wanted 2 rolls of quarters. There was no line up. Had my debit card ready. 30 minutes later I’m still answering security questions and have to speak consent to decline the up-sold ‘service’ the teller was offering. The interaction started with having to confirm the date I started the account. Decades ago! I’m lucky I remembered (guessed) the month correctly. I was there for quarters for laundry. Other branches get this done for me in under 10 minutes. Do the downtown employees do this stuff for sport?,2.2,1731438158
"Absolute worst automated customer service phone line I've ever encountered. Was near impossible to connect with an agent, and the operator wasted many valuable minutes of international call time providing obvious information without letting me proceed then hanging up on after unnecessarily explaining what online banking is. When I finally connected with an agent, the line was muffled and she could not hear me despite there being no issues with my phone. She then hung up on me.",2.2,1735543515
Most of the advisors are unprofessional and behave rudely. I don't know why the bank management ignores the numerous complaints from customers unless they are trying to hide something or cannot force the employees to work seriously for reasons that may appear later...,2.2,1728780680
"Tried to give RBC my business and they botched it in the 2/2 possible ways a bank could botch it.

1/2 money in: I opened an account then immediately set it up for my payroll. A fews days go by and my pay run bounced because RBC had frozen my account. I didn't get paid until the next pay run. Worst of all was the 3 hours attempting to get to a manager via customer service number, yielding nothing, their agents are neutered, they said wait a few days and that the manager would just say the same thing and refused to transfer me.

2/2 money out: I tried to send an e transfer. This was denied by their system. A few hours on hold eventually told me it was a security feature but it wasn't fixed. The app was forcing me to tap my bank card on my phone to initiate a transfer but did not recognize it despite using NFC for payments all the time. Customer service this time told me my card was bad. Went into a branch and my card was fine apparently. Withdrew all funds and closed the account while in branch.

Hopefully this saves you the time and stress I experienced. Literally any bank is better than RBC.",2.2,1718167333
"This branch has been kind to me from the very beginning. I wanted to personally thank Mr. Neil Patel for managing my case with the utmost care and efficiency. His attention to detail and expertise allowed me to feel safe whilst renewing my mortgage (and more).

Looking forward to my next interaction with Mr. Patel!",2.4,1733257724
I was there very early in the morning and yet the staff was so welcoming! Jack at the desk was very helpful and friendly. He patiently heard my query and promptly solved it. Greatly appreciated! My work was done in no time.,2.4,1736776882
"I have decided to change my bank, but I wanted to share my recent experience.

I have found Scotiabank to be the most untrustworthy bank in Canada. In the last 30 days, they have been under maintenance for 10 days, which amounts to over 33% of their service time. Furthermore, I made a bill payment seven days ago, and it still does not appear in my billing account, resulting in a penalty for late payment.
Additionally, I experienced a frustrating wait of 1 hour and 45 minutes for customer support, only to be told that I need to call back tomorrow as my issue cannot be resolved today.

I sincerely hope that scotiabank goes bankrupt soon so no other customer has to endure such poor service in the future.

Edit 2: Called again today on November  24th,since I cannot transfer my money from savings to chequing and took 45 mins to connect with a representative.He did some security questions and asked what is the issue,explained to him and he said please stay on hold and then cut the damn line.Do better Scotia",2.4,1732484627
This company has continued to harass me after getting a mortgage. Do not trust them with your information as they will abuse this privilege and try to push every product they have on you with zero regard for their customers. Do Better.,2.4,1736471755
"This review is addressed to Scotiabank company for customer feedback. RBC IS BEST FOR FIRST CREDIT CARD.

Im leaving this 1 star for several several reasons. They never allowed me to have my first credit card although they were the first I applied for. Furthermore, even when I got my first credit card from another bank and good  good credit score standing, they still refuse me for credit card. After many years of good credit score,  when I purchased a car, scotiabank was the first random pick in the system to be asked, they denied me for car loan. Consequently, in total I had like 3-4 Scotiabank credit inquiry history in my credit report with ZERO HELP from Scotiabank ( ones for credit card + car loan).

The other bank that was always helpful and first to help is RBC! Rbc has been very good to me even when I had nothing, like zero credit history to start with. From credit cards to loans, they were and will be the first to say YES. That’s why they are top bank in Canada cos they are willing to be help people unlike Scotiabank!!

This bank company doesn’t deserve any 5 stars from me for their treatment. I don’t like this bank for the above reasons! They don’t give opportunities.",2.4,1734332151
"Horrible customer services surprisingly from the teller manager initial JC,
Please hire more quality people that know how to give good customer service and more importantly train your employees well before you promote them.
If I have an option to put 0 star, I will gladly to rate this branch for it.",2.1,1686337206
I dont normally write reviews but the customer service from the branch manager Derek Richardson was truly above and beyond. I came in a bit before closing and he stayed late calling the main office multiple times and having many frustrating conversions to make sure my issue was solved. I was really going to leave HSBC but thanks to him I have decided to keep my account,2.1,1685551178
"Service was good. They only have two desks for tellers so service can be slow. To be fair I don't expect much from actually needing to walk into a bank, I've never had ""fast"" service at a bank. But they handled my weird request quick enough and helped me out with some issues on my account I was unaware of.",2.1,1562771129
"You can't manage a bank and have one employee only taking care of customers on Monday morning. Management-wise, it makes no sense and it's incompetent scheduling. It's Monday. Waiting 30 minutes in line for a service that usually takes 3 minutes.",2.1,1694447720
"Great branch. I had a terrible experience at the Bay and Bloor branch with rude service and this branch couldn’t have been better.

The teller Tennyson was super helpful, friendly, thorough and they were able to get me the USD I was looking to withdraw.

I would definitely recommend anyone to use this branch.",2.1,1652794443
"Daniel at the bank provided exceptional service during my recent visit.
From the moment I walked in, he was incredibly helpful, knowledgeable, and patient. Daniel went above and beyond to ensure all my questions were answered and that I felt confident in my decisions.
His professionalism and commitment to customer satisfaction truly stood out. I highly recommend Daniel for anyone seeking top-notch service at the bank!",2.9,1724363824
"I went here today to do some work. The employee that helped me was really kind and nice, and it took me only 15ish mins to finish the thing. I was worried since I saw how the low rate the reviews were, but there really was nothing to worry about!",2.9,1717773467
I just did a transaction to TD Yonge and Adelaide location with Daniel Torchia as my customer service rep. He was so patient and very helpful. He have pleasing personality and a good customer service. He was very specific and detailed regarding the transaction. I am happy and satisfied. Congratulations TD you hired a good and reliable person. Thank you so much Daniel. See you next time.,2.9,1685558967
